iter	Passed	Remaining
401	19306	14311
402	19352	14262
403	19399	14213
404	19442	14161
405	19488	14112
406	19533	14062
407	19577	14011
408	19623	13961
409	19661	13907
410	19709	13858
411	19753	13808
412	19795	13756
413	19840	13705
414	19884	13655
415	19930	13606
416	19977	13558
417	20019	13506
418	20067	13458
419	20113	13408
420	20155	13356
421	20203	13309
422	20250	13260
423	20297	13212
424	20345	13164
425	20393	13117
426	20435	13065
427	20485	13018
428	20531	12969
429	20576	12920
430	20618	12868
431	20664	12819
432	20709	12770
433	20774	12732
434	20840	12695
435	20913	12663
436	20984	12629
437	21064	12600
438	21128	12561
439	21183	12517
440	21240	12474
441	21300	12433
442	21353	12387
443	21396	12336
444	21447	12289
445	21489	12238
446	21535	12189
447	21580	12138
448	21620	12086
449	21666	12036
450	21716	11989
451	21758	11938
452	21801	11887
453	21844	11836
454	21889	11786
455	21937	11738
456	21984	11689
457	22026	11638
458	22071	11588
459	22120	11541
460	22173	11495
461	22216	11444
462	22257	11393
463	22302	11343
464	22346	11293
465	22392	11244
466	22442	11197
467	22485	11146
468	22523	11093
469	22572	11045
470	22618	10997
471	22666	10948
472	22714	10901
473	22763	10853
474	22806	10803
475	22851	10753
476	22896	10704
477	22937	10652
478	22978	10601
479	23024	10552
480	23066	10502
481	23106	10450
482	23144	10398
483	23183	10346
484	23223	10294
485	23263	10243
486	23303	10192
487	23342	10140
488	23383	10089
489	23422	10038
490	23462	9987
491	23501	9935
492	23543	9885
493	23589	9836
494	23635	9788
495	23691	9744
496	23738	9695
497	23779	9645
498	23824	9596
499	23867	9547
500	23907	9496
501	23953	9447
502	23993	9397
503	24037	9347
504	24076	9296
505	24120	9247
506	24159	9196
507	24216	9152
508	24254	9101
509	24301	9053
510	24342	9003
511	24381	8952
512	24420	8901
513	24459	8851
514	24501	8801
515	24550	8754
516	24590	8704
517	24628	8653
518	24668	8603
519	24711	8553
520	24758	8506
521	24797	8455
522	24835	8405
523	24879	8356
524	24916	8305
525	24955	8255
526	24994	8204
527	25036	8155
528	25080	8107
529	25122	8058
530	25167	8010
531	25205	7959
532	25244	7909
533	25283	7859
534	25328	7811
535	25370	7762
536	25410	7713
537	25451	7663
538	25491	7614
539	25537	7566
540	25584	7519
541	25630	7471
542	25676	7423
543	25717	7374
544	25763	7327
545	25806	7278
546	25861	7233
547	25919	7189
548	25991	7148
549	26067	7109
550	26142	7069
551	26220	7030
552	26293	6989
553	26347	6943
554	26401	6897
555	26458	6852
556	26513	6806
557	26569	6761
558	26631	6717
559	26682	6670
560	26726	6621
561	26772	6574
562	26822	6526
563	26873	6480
564	26913	6430
565	26961	6382
566	27007	6335
567	27049	6286
568	27090	6236
569	27132	6188
570	27171	6138
571	27212	6089
572	27254	6040
573	27295	5991
574	27334	5942
575	27381	5894
576	27419	5845
577	27478	5800
578	27520	5751
579	27563	5702
580	27604	5653
581	27648	5605
582	27689	5556
583	27727	5507
584	27775	5460
585	27829	5413
586	27876	5366
587	27926	5319
588	27971	5271
589	28017	5223
590	28066	5176
591	28116	5129
592	28162	5081
593	28204	5033
594	28262	4987
595	28618	4993
596	28720	4955
597	28815	4915
598	28896	4872
599	29010	4835
600	29085	4791
601	29169	4748
602	29239	4703
603	29323	4660
604	29395	4615
605	29456	4569
606	29521	4522
607	29601	4479
608	29668	4433
609	29744	4388
610	29895	4354
611	29981	4311
612	30063	4266
613	30160	4224
614	30242	4179
615	30317	4134
616	30381	4086
617	30432	4038
618	30493	3990
619	30541	3940
620	30595	3892
621	30646	3843
622	30699	3794
623	30754	3745
624	30796	3695
625	30839	3645
626	30884	3595
627	30925	3545
628	30966	3495
629	31005	3445
630	31045	3394
631	31091	3345
632	31131	3295
633	31171	3245
634	31227	3196
635	31276	3147
636	31318	3097
637	31360	3047
638	31409	2998
639	31459	2949
640	31507	2900
641	31548	2850
642	31590	2800
643	31634	2750
644	31683	2701
645	31729	2652
646	31771	2602
647	31812	2552
648	31855	2503
649	31903	2454
650	31953	2405
651	31999	2355
652	32046	2306
653	32092	2257
654	32133	2207
655	32182	2158
656	32230	2109
657	32277	2060
658	32328	2011
659	32373	1962
660	32417	1912
661	32463	1863
662	32503	1813
663	32547	1764
664	32587	1715
665	32637	1666
666	32684	1617
667	32728	1567
668	32778	1518
669	32846	1470
670	32917	1422
671	32965	1373
672	33019	1324
673	33070	1275
674	33120	1226
675	33177	1177
676	33219	1128
677	33264	1079
678	33311	1030
679	33359	981
680	33403	931
681	33444	882
682	33485	833
683	33534	784
684	33582	735
685	33623	686
686	33679	637
687	33728	588
688	33775	539
689	33822	490
690	33871	441
691	33920	392
692	33967	343
693	34006	294
694	34052	244
695	34099	195
696	34139	146
697	34184	97
698	34225	48
699	34272	0
