iter	RMSE
230	0.4328475749
231	0.4328186817
232	0.4322758343
233	0.4320743191
234	0.4320513334
235	0.4320306409
236	0.4320089335
237	0.4319532234
238	0.4319331138
239	0.4319133206
240	0.4319113097
241	0.4318729846
242	0.4313130657
243	0.4311770392
244	0.431030788
245	0.431010785
246	0.4309189706
247	0.430775554
248	0.4306382905
249	0.4306368197
250	0.4306345984
251	0.4305222622
252	0.4303466244
253	0.4302002621
254	0.4301788286
255	0.4300561274
256	0.4298738928
257	0.429811834
258	0.4297178859
259	0.4296735771
260	0.4295494768
261	0.4295230412
262	0.4293924806
263	0.4291190895
264	0.4290262941
265	0.4288055657
266	0.4287716018
267	0.4286221073
268	0.4285444443
269	0.4285436034
270	0.4285227822
271	0.4283890086
272	0.428289773
273	0.4282609647
274	0.4282294882
275	0.4281322713
276	0.4280643371
277	0.4275326545
278	0.4274883866
279	0.4269684544
280	0.4269476374
281	0.4269337415
282	0.4269198621
283	0.4269035479
284	0.4268633137
285	0.4263595025
286	0.4263429081
287	0.426328395
288	0.4263069165
289	0.426288456
290	0.4257753522
291	0.425660399
292	0.425308339
293	0.4253007792
294	0.425282512
295	0.4250707301
296	0.4250453649
297	0.4245513163
298	0.4244340899
299	0.4244200072
300	0.424407152
301	0.4243347084
302	0.4242653633
303	0.424060434
304	0.4239812008
305	0.4235328108
306	0.4234885308
307	0.4234631069
308	0.4234581323
309	0.4233576901
310	0.4232918274
311	0.4231860648
312	0.4230705024
313	0.4230559252
314	0.4230431282
315	0.4229832859
316	0.4229411527
317	0.4229397716
318	0.4224453775
319	0.4224105893
320	0.4224020325
321	0.4222116033
322	0.4222066922
323	0.4221815931
324	0.4220987828
325	0.4220829952
326	0.4220705936
327	0.4220566873
328	0.421943761
329	0.4214646774
330	0.4214641596
331	0.4213941731
332	0.421370699
333	0.4213571692
334	0.4213467903
335	0.421336831
336	0.4213047929
337	0.4213003489
338	0.4212248734
339	0.4210961545
340	0.4209542562
341	0.4204871903
342	0.420471227
343	0.4204701875
344	0.4204255452
345	0.420415682
346	0.4199616897
347	0.4199465127
348	0.4199317396
349	0.4198781947
350	0.4198528491
351	0.4198411497
352	0.4198063904
353	0.4197933727
354	0.4197048884
355	0.4196895156
356	0.4196751848
357	0.4196007937
358	0.4195817288
359	0.4195129111
360	0.4193633599
361	0.4193112017
362	0.4192564031
363	0.4191042785
364	0.419089614
365	0.419047243
366	0.4189563986
367	0.418903262
368	0.4188903464
369	0.4188189899
370	0.4187837919
371	0.418708879
372	0.4185115367
373	0.4184838545
374	0.4184529463
375	0.4179997157
376	0.4179829247
377	0.4179620328
378	0.4179400769
379	0.4179305899
380	0.4177877933
381	0.4177738745
382	0.4173005271
383	0.4172013793
384	0.4171080259
385	0.4170330298
386	0.4170300355
387	0.4165909745
388	0.4161643864
389	0.4161170285
390	0.4161051941
391	0.4160945217
392	0.4160586683
393	0.4160360769
394	0.4160115461
395	0.4159948154
396	0.4155380488
397	0.4155266406
398	0.4154410037
399	0.4150173616
400	0.4149932555
401	0.4145822976
402	0.4144944399
403	0.4144713612
404	0.4144570088
405	0.414450081
406	0.4143795951
407	0.4143684047
408	0.4143650464
409	0.4143483309
410	0.4142807703
411	0.4142705217
412	0.4142629279
413	0.4142553138
414	0.4142440349
415	0.41391144
416	0.4138487681
417	0.4138392817
418	0.4138195088
419	0.4137160719
420	0.4137077902
421	0.4136668717
422	0.413657085
423	0.4136510228
424	0.4135715804
425	0.4135518763
426	0.413544363
427	0.4134824596
428	0.4134579081
429	0.4134318688
430	0.4134219666
431	0.4134123772
432	0.4133976252
433	0.4133828577
434	0.413373085
435	0.4130243509
436	0.413017145
437	0.4129559458
438	0.4126203576
439	0.4125961226
440	0.4125238263
441	0.4124647165
442	0.41244861
443	0.4123796238
444	0.4123704333
445	0.4120551428
446	0.4120167247
447	0.4120054055
448	0.4119965439
449	0.4119864925
450	0.4119319476
451	0.4119256039
452	0.4119158566
453	0.4119061714
454	0.4115763538
455	0.4115715868
456	0.4115266068
457	0.4115178823
458	0.4115090283
459	0.4114405959
460	0.4113966375
461	0.41138684
462	0.4113774715
463	0.4113694936
464	0.4113623888
465	0.4113551046
466	0.4113116362
467	0.4113040677
468	0.4112962346
469	0.4112280711
470	0.41121862
471	0.4111955987
472	0.41106544
473	0.4110478529
474	0.4109932072
475	0.4106030457
476	0.4101948884
477	0.4101785654
478	0.4101712579
479	0.4101629226
480	0.4101562708
481	0.4100313415
482	0.4100243957
483	0.4100085742
484	0.4100026471
485	0.40999593
486	0.4099803051
487	0.4099748041
488	0.4099700765
489	0.4099636943
490	0.4098436441
491	0.409838667
492	0.4098228711
493	0.40980815
494	0.4097925162
495	0.4094844212
496	0.4094784812
497	0.40946424
498	0.4094490965
499	0.4094444803
500	0.4094296011
501	0.4094149907
502	0.4092994958
503	0.4091972673
504	0.409184005
505	0.4088724253
506	0.4088585392
507	0.4087829186
508	0.4087782778
509	0.408734477
510	0.4085998104
511	0.4084703846
512	0.4084653516
513	0.4084610625
514	0.4080721488
515	0.4077074757
516	0.4076942083
517	0.4076895557
518	0.4076115981
519	0.407555585
520	0.4074700246
521	0.4073782623
522	0.4073742239
523	0.4073696494
524	0.4073657684
525	0.4072748632
526	0.4072709976
527	0.4072297498
528	0.4071566395
529	0.4071529002
530	0.4067815336
531	0.4067777536
532	0.4067740396
533	0.4066879588
534	0.4063439064
535	0.4063342869
536	0.4063220845
537	0.4062792979
538	0.4062750255
539	0.4062316842
540	0.4058928855
541	0.4058526451
542	0.4058410414
543	0.4058375155
544	0.4057442201
545	0.4057327991
546	0.4056709608
547	0.4055887781
548	0.4055587925
549	0.4055183816
550	0.4054934276
551	0.4054855579
552	0.4054612946
553	0.4050990186
554	0.4050830196
555	0.4050743497
556	0.4050531973
557	0.4047027109
558	0.4046258491
559	0.4045478764
560	0.4045402709
561	0.4045341114
562	0.4044735613
563	0.4043930954
564	0.4043776711
565	0.4043676992
566	0.4043534416
567	0.4043437464
568	0.404259468
569	0.4042389518
570	0.4042251723
571	0.4042154329
572	0.4041423283
573	0.4040665082
574	0.4040541151
575	0.4039768579
576	0.4039628678
577	0.4038643944
578	0.4038507241
579	0.4037544776
580	0.4037412045
581	0.4036868553
582	0.4036363447
583	0.4036235662
584	0.4035493978
585	0.4034962722
586	0.4034317643
587	0.403362529
588	0.4033143794
589	0.4033019325
590	0.4032336581
591	0.4030971872
592	0.402941413
593	0.4029293644
594	0.4028661998
595	0.4028060345
596	0.4027487234
597	0.4026574395
598	0.402611182
599	0.4026049121
600	0.4025987438
601	0.4025930023
602	0.4025621043
603	0.4024984781
604	0.402491139
605	0.4024467744
606	0.4023944772
607	0.4023530998
608	0.4023276267
609	0.4023254371
610	0.4022854629
611	0.4022433545
612	0.402188336
613	0.401888613
614	0.4018844104
615	0.4018458585
616	0.4018183112
617	0.4017685344
618	0.4016494808
619	0.4016182971
620	0.4016069511
621	0.401545302
622	0.4012546406
623	0.4012181134
624	0.4011878498
625	0.4011838614
626	0.4010987907
627	0.4010949269
628	0.4010589231
629	0.4010551689
630	0.4010203328
631	0.4009919241
632	0.4008794524
633	0.4008684274
634	0.4007814303
635	0.4005625206
636	0.4005288483
637	0.4004962666
638	0.4002840082
639	0.4002132456
640	0.4001666771
641	0.4001105089
642	0.4001085713
643	0.3999789395
644	0.3998429053
645	0.3998157708
646	0.3996107641
647	0.3995775182
648	0.3995252332
649	0.3994954251
650	0.3994345423
651	0.3993934518
652	0.399365043
653	0.3992864357
654	0.3992590021
655	0.3992091152
656	0.3991876495
657	0.3991484536
658	0.3990588101
659	0.3989455175
660	0.3989134209
661	0.3988760041
662	0.3988550731
663	0.3988189107
664	0.3986939178
665	0.3986409951
666	0.3985743016
667	0.3985338103
668	0.3985044281
669	0.3983049421
670	0.3982260636
671	0.3982057702
672	0.3981198967
673	0.3980360703
674	0.3980103162
675	0.397935194
676	0.3978625034
677	0.3978268731
678	0.3976995595
679	0.3976749795
680	0.397585617
681	0.397535838
682	0.3975161005
683	0.3974145947
684	0.3973484652
685	0.3973250857
686	0.397253344
687	0.3969483419
688	0.3969033302
689	0.3968879111
690	0.3968421314
691	0.3965323744
692	0.3965276399
693	0.3965033387
694	0.3964332381
695	0.3964313475
696	0.3964294874
697	0.3964203367
698	0.3963430325
699	0.3963398783
